24/07/2015 02:40:36 | MVCForum.Website.dll | Application_Start | START APP
24/07/2015 02:50:32 | MVCForum.Website.dll | Application_Start | START APP
24/07/2015 02:50:35 | MVCForum.Services.dll | ProcessMail | An error occurred while executing the command definition. See the inner exception for details. INNER EXCEPTION: Invalid object name 'dbo.Email'.
24/07/2015 02:50:35 | MVCForum.Website.dll | Execute | Error in KeepAlive job > An error occurred while executing the command definition. See the inner exception for details.
24/07/2015 02:50:47 | MVCForum.Services.dll | ProcessMail | An error occurred while executing the command definition. See the inner exception for details. INNER EXCEPTION: Invalid object name 'dbo.Email'.
24/07/2015 02:50:54 | MVCForum.Services.dll | GetResourceString | Unable to retrieve resource key 'Members.NewMemberRegistered' for language id 21a2bece-71c0-4cc7-9f92-a4df002eedd4.
24/07/2015 02:50:54 | MVCForum.Services.dll | GetResourceString | Unable to retrieve resource key 'Members.Admin' for language id 21a2bece-71c0-4cc7-9f92-a4df002eedd4.
24/07/2015 02:50:54 | MVCForum.Services.dll | GetResourceString | Unable to retrieve resource key 'Members.NewMemberSubject' for language id 21a2bece-71c0-4cc7-9f92-a4df002eedd4.
24/07/2015 02:50:55 | MVCForum.Website.dll | Application_Start | START APP
24/07/2015 02:50:57 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:51:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:51:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:51:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:51:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:52:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:52:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:52:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:52:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:53:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:53:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:53:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:53:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:54:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:54:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:54:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:54:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:55:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:55:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:55:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:55:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:56:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:56:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:56:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:56:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:57:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:57:25 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:57:40 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:57:55 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:58:10 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:59:24 | MVCForum.Website.dll | Application_Start | START APP
24/07/2015 02:59:26 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:59:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 02:59:54 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:00:09 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:00:24 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:00:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:00:54 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:01:09 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:01:24 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:01:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:01:54 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:02:09 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:02:24 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:02:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:02:54 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:03:09 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:03:24 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:03:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:03:54 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:04:09 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:04:24 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:04:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:04:54 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:05:09 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:05:24 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:05:39 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:06:42 | MVCForum.Website.dll | Application_Start | START APP
24/07/2015 03:06:44 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:06:57 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:07:12 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:07:27 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:07:42 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:07:57 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
24/07/2015 03:08:12 | MVCForum.Services.dll | ProcessMail | There are no SMTP details in the settings, unable to send emails
